iter	Passed	Remaining
900	1644	180
901	1645	178
902	1646	176
903	1650	175
904	1652	173
905	1654	171
906	1656	169
907	1657	167
908	1660	166
909	1663	164
910	1665	162
911	1668	160
912	1671	159
913	1672	157
914	1674	155
915	1677	153
916	1681	152
917	1685	150
918	1693	149
919	1695	147
920	1698	145
921	1701	143
922	1705	142
923	1706	140
924	1708	138
925	1710	136
926	1712	134
927	1713	132
928	1715	131
929	1716	129
930	1717	127
931	1718	125
932	1719	123
933	1721	121
934	1726	120
935	1727	118
936	1728	116
937	1730	114
938	1731	112
939	1733	110
940	1734	108
941	1736	106
942	1737	105
943	1740	103
944	1742	101
945	1744	99
946	1746	97
947	1747	95
948	1748	93
949	1750	92
950	1751	90
951	1753	88
952	1754	86
953	1755	84
954	1757	82
955	1758	80
956	1760	79
957	1761	77
958	1763	75
959	1764	73
960	1765	71
961	1766	69
962	1767	67
963	1770	66
964	1772	64
965	1773	62
966	1774	60
967	1776	58
968	1777	56
969	1779	55
970	1780	53
971	1781	51
972	1783	49
973	1784	47
974	1786	45
975	1787	43
976	1789	42
977	1791	40
978	1792	38
979	1794	36
980	1795	34
981	1796	32
982	1798	31
983	1802	29
984	1803	27
985	1804	25
986	1805	23
987	1807	21
988	1810	20
989	1811	18
990	1812	16
991	1813	14
992	1814	12
993	1818	10
994	1819	9
995	1820	7
996	1822	5
997	1823	3
998	1824	1
999	1825	0
